Fecha,tas [K]
1980-01-01 12:00:00,291.12793
1980-01-02 12:00:00,291.05536
1980-01-03 12:00:00,291.3788
1980-01-04 12:00:00,291.56964
1980-01-05 12:00:00,292.0724
1980-01-06 12:00:00,292.28055
1980-01-07 12:00:00,292.17844
1980-01-08 12:00:00,292.21402
1980-01-09 12:00:00,292.34674
1980-01-10 12:00:00,292.34656
1980-01-11 12:00:00,291.74567
1980-01-12 12:00:00,290.92703
1980-01-13 12:00:00,291.1857
1980-01-14 12:00:00,291.99292
1980-01-15 12:00:00,292.25717
1980-01-16 12:00:00,292.47717
1980-01-17 12:00:00,292.00824
1980-01-18 12:00:00,291.46805
1980-01-19 12:00:00,292.42398
1980-01-20 12:00:00,292.49536
1980-01-21 12:00:00,292.56174
1980-01-22 12:00:00,292.25214
1980-01-23 12:00:00,291.44202
1980-01-24 12:00:00,290.9473
1980-01-25 12:00:00,291.5723
1980-01-26 12:00:00,292.54037
1980-01-27 12:00:00,293.178
1980-01-28 12:00:00,293.242
1980-01-29 12:00:00,293.3556
1980-01-30 12:00:00,293.4726
1980-01-31 12:00:00,293.15897
1980-02-01 12:00:00,292.89032
1980-02-02 12:00:00,292.7822
1980-02-03 12:00:00,293.3983
1980-02-04 12:00:00,293.662
1980-02-05 12:00:00,293.2787
1980-02-06 12:00:00,292.83038
1980-02-07 12:00:00,293.17303
1980-02-08 12:00:00,293.0899
1980-02-09 12:00:00,293.26987
1980-02-10 12:00:00,292.55258
1980-02-11 12:00:00,292.27615
1980-02-12 12:00:00,292.72943
1980-02-13 12:00:00,293.2676
1980-02-14 12:00:00,292.87057
1980-02-15 12:00:00,293.03427
1980-02-16 12:00:00,292.6157
1980-02-17 12:00:00,292.29263
1980-02-18 12:00:00,293.1262
1980-02-19 12:00:00,293.07507
1980-02-20 12:00:00,292.1888
1980-02-21 12:00:00,292.03046
1980-02-22 12:00:00,292.5703
1980-02-23 12:00:00,292.97794
1980-02-24 12:00:00,293.085
1980-02-25 12:00:00,292.9391
1980-02-26 12:00:00,293.31253
1980-02-27 12:00:00,292.91138
1980-02-28 12:00:00,292.61407
1980-02-29 12:00:00,292.9376
1980-03-01 12:00:00,292.13577
1980-03-02 12:00:00,292.52295
1980-03-03 12:00:00,292.411
1980-03-04 12:00:00,292.86255
1980-03-05 12:00:00,292.9242
1980-03-06 12:00:00,293.2804
1980-03-07 12:00:00,293.73056
1980-03-08 12:00:00,293.64325
1980-03-09 12:00:00,293.76355
1980-03-10 12:00:00,293.664
1980-03-11 12:00:00,293.50516
1980-03-12 12:00:00,293.83173
1980-03-13 12:00:00,294.29263
1980-03-14 12:00:00,293.57538
1980-03-15 12:00:00,293.0727
1980-03-16 12:00:00,293.7341
1980-03-17 12:00:00,293.81824
1980-03-18 12:00:00,294.29022
1980-03-19 12:00:00,294.37375
1980-03-20 12:00:00,294.1247
1980-03-21 12:00:00,293.8869
1980-03-22 12:00:00,293.64328
1980-03-23 12:00:00,293.4758
1980-03-24 12:00:00,293.24844
1980-03-25 12:00:00,293.00473
1980-03-26 12:00:00,293.07004
1980-03-27 12:00:00,293.38336
1980-03-28 12:00:00,293.23254
1980-03-29 12:00:00,293.34238
1980-03-30 12:00:00,293.86423
1980-03-31 12:00:00,293.43234
1980-04-01 12:00:00,293.30807
1980-04-02 12:00:00,293.11353
1980-04-03 12:00:00,292.97244
1980-04-04 12:00:00,293.37158
1980-04-05 12:00:00,293.45142
1980-04-06 12:00:00,293.40958
1980-04-07 12:00:00,293.003
1980-04-08 12:00:00,292.3153
